pair,2017Q3,2017Q4
"('CRF', 'STXS')",False,False
"('RBC', 'NVR')",False,False
"('GILD', 'USAP')",False,False
"('COHU', 'MLSS')",False,False
"('ESRT', 'JMLP')",False,False
"('VGRBF', 'LYTS')",False,False
"('PRTK', 'BDC')",False,False
"('UFI', 'HRC')",False,False
"('HXL', 'MGI')",False,False
"('VIVO', 'SYY')",False,True
"('PERY', 'FLT')",False,False
"('KELYA', 'CPWR')",False,False
"('UG', 'MANT')",False,False
"('FPI', 'CFRX')",False,False
"('FCO', 'UVSP')",False,False
"('VTR', 'ANF')",False,False
"('CET', 'OLLI')",False,False
"('MRCC', 'NUW')",False,False
"('AXGN', 'X')",False,False
"('NCLH', 'MXIM')",False,True
"('APVO', 'NBHC')",False,False
"('CPS', 'AVT')",False,False
"('AYX', 'XXII')",False,False
"('ASNA', 'GECC')",False,False
"('PFSI', 'AB')",False,False
"('PERY', 'PLT')",False,False
"('HPS', 'ABUS')",False,False
"('NMI', 'GSAT')",False,False
"('PJT', 'COUP')",False,False
"('CCOP', 'BIOL')",False,False
"('ANAB', 'BRKL')",False,False
"('LKFN', 'PSX')",False,True
"('XOM', 'JMLP')",False,False
"('WTBA', 'EME')",False,False
"('AIR', 'HTM')",False,False
"('EXLS', 'ATLO')",False,False
"('SRNA', 'WTI')",False,False
"('MPB', 'AMT')",False,False
"('NVIV', 'KEX')",False,False
"('SEAC', 'OPY')",False,False
"('SAEX', 'JTA')",False,False
"('EVF', 'LCNB')",False,False
"('DE', 'RCKY')",False,False
"('MD', 'RFP')",False,False
"('SRT', 'HTLF')",False,False
"('ATHX', 'ROCK')",False,False
"('LGF-B', 'BEN')",False,False
"('WETF', 'FIBK')",False,False
"('JLS', 'ENRT')",False,False
"('HPE', 'NGS')",False,False
"('ACRX', 'DECK')",False,False
"('STL', 'CMTL')",False,False
"('VABK', 'LPLA')",False,False
"('AIRG', 'VZ')",False,False
"('SBRA', 'ACHC')",False,False
"('IRT', 'REVG')",True,False
"('CUBI', 'CORVF')",False,False
