pair,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2
"('NEV', 'NRK')",,False,False,False,False
"('NTX', 'NKG')",,False,False,False,False
"('NHA', 'NIM')",,False,False,False,False
"('NIM', 'NEA')",,False,False,False,False
"('NOM', 'NMS')",,False,False,False,False
"('NEV', 'NUO')",,False,True,False,False
"('NMS', 'NJV')",,False,False,False,False
"('NNY', 'NRK')",,True,False,False,False
"('NXP', 'NXC')",,False,False,False,False
"('NKG', 'NUO')",,True,False,False,False
"('NQP', 'NUW')",,False,False,True,False
"('NTX', 'NYV')",,False,False,True,False
"('NXN', 'NAD')",,False,True,True,False
"('NUM', 'NKX')",,True,False,True,False
"('NCA', 'NJV')",,False,False,False,False
"('NMZ', 'NOM')",,False,False,False,False
"('NUO', 'NXR')",,False,False,False,False
"('NEA', 'NXR')",,False,False,False,False
"('NMT', 'NXQ')",,False,True,False,False
"('NEV', 'NKG')",,False,False,False,False
"('NCB', 'NAC')",,False,False,True,False
"('NYV', 'NNY')",,False,False,True,False
"('NMY', 'NAC')",,False,False,False,True
"('NPV', 'NUW')",,False,False,False,False
"('NAN', 'NAD')",,False,False,False,False
"('NCA', 'NYV')",,False,False,True,False
"('NXQ', 'NXR')",,False,False,False,False
"('NCB', 'NJV')",,False,False,False,False
"('NXP', 'NKX')",,False,False,False,False
"('NUM', 'NUO')",,False,False,False,False
"('NID', 'NUM')",,False,False,False,False
"('NMY', 'NVG')",,False,False,False,False
"('NMS', 'NUO')",,False,False,False,False
"('NXQ', 'NUO')",,False,False,False,False
"('BLW', 'BGY')",,False,True,False,True
"('NCA', 'NHA')",,False,False,False,True
"('NZF', 'NMI')",,False,False,False,False
"('BGR', 'BGT')",,False,False,False,False
"('NTX', 'NID')",,False,False,False,False
"('NXP', 'NQP')",,False,False,False,True
"('HYT', 'BGY')",,False,False,False,False
"('NMI', 'NRK')",,False,False,False,False
"('NUV', 'NUO')",,False,False,False,False
"('NAN', 'NNY')",,False,False,False,True
"('NXP', 'NUO')",,False,False,False,False
"('NYV', 'NAC')",,False,False,False,False
"('NAD', 'NQP')",,True,False,True,False
"('NKG', 'NAZ')",,False,False,False,False
"('NMZ', 'NXJ')",,False,False,False,False
"('NMI', 'NYV')",,False,False,False,True
"('NTX', 'NAN')",,False,False,False,False
"('NAZ', 'NAC')",,True,False,False,False
"('QQQX', 'DIAX')",,False,False,False,False
"('DIAX', 'SPXX')",,False,False,False,False
"('NMI', 'NUO')",,False,False,False,False
"('NQP', 'NIM')",,False,False,False,False
"('NUV', 'NXQ')",,True,False,False,False
"('JCE', 'SPXX')",,True,False,False,False
"('NAD', 'NIQ')",,True,False,False,False
"('NKG', 'NXP')",,False,False,False,False
"('NMY', 'NMS')",,False,False,False,False
"('NPN', 'NAZ')",,False,False,False,False
"('NUV', 'NRK')",,False,True,False,False
"('NQP', 'NNY')",,False,False,False,False
"('NMS', 'NRK')",,False,False,False,False
"('NHA', 'NUW')",,True,False,True,True
"('NNY', 'NJV')",,True,False,False,False
"('NPV', 'NUO')",,False,False,False,True
"('NXN', 'NIM')",,False,False,False,False
"('NHA', 'NXJ')",,True,False,True,False
"('NHA', 'NIQ')",,True,False,False,False
"('NCA', 'NOM')",,False,False,False,False
"('NPN', 'NUW')",,False,False,False,False
"('NUW', 'NEA')",,False,False,False,False
"('NHA', 'NRK')",,True,False,True,False
"('NVG', 'NUO')",,False,False,False,False
"('NCA', 'NXQ')",,True,False,False,False
"('NPN', 'NAN')",,False,False,False,False
"('NXN', 'NXC')",,False,True,False,False
"('NIQ', 'NAC')",,False,False,False,False
"('NIM', 'NXJ')",,False,False,False,True
"('NKG', 'NCB')",,False,False,False,False
"('NUV', 'NMI')",,False,False,False,False
"('NMY', 'NCB')",,False,False,False,False
"('NMZ', 'NCA')",,False,False,False,False
"('NZF', 'NXR')",,False,False,False,False
"('NKX', 'NEA')",,False,False,False,True
"('NTX', 'NKX')",,False,False,False,False
"('NZF', 'NJV')",,True,False,False,False
"('NUM', 'NYV')",,False,False,True,False
"('NKG', 'NMS')",,False,False,False,False
"('NKG', 'NXR')",,False,False,False,False
"('NPV', 'NXQ')",,False,False,False,True
"('NXQ', 'NYV')",,False,False,True,False
"('NEV', 'NYV')",,False,True,True,False
"('NMT', 'NUM')",,False,True,False,False
"('NOM', 'NIQ')",,False,False,False,False
"('BDJ', 'BME')",,False,False,False,False
"('NNY', 'NAC')",,True,False,False,False
"('NRK', 'NAC')",,False,True,False,False
"('NMS', 'NXR')",,False,False,False,True
"('NOM', 'NUW')",,True,False,False,False
"('NUV', 'NEV')",,True,False,False,False
"('NMY', 'NXP')",,False,False,False,False
"('NEV', 'NNY')",,False,False,False,False
"('NID', 'NKX')",,False,False,False,False
"('NKX', 'NXC')",,False,False,True,False
"('NUM', 'NCB')",,False,False,False,False
"('NAN', 'NOM')",,False,False,False,False
"('NUV', 'NJV')",,True,False,False,False
"('NZF', 'NXQ')",,False,False,False,False
"('NHA', 'NNY')",,True,False,False,True
"('NID', 'NVG')",,False,False,False,False
"('NMI', 'NXR')",,False,False,False,False
"('NUV', 'NMS')",,False,False,False,False
"('NID', 'NXP')",,False,True,False,False
"('NQP', 'NXJ')",,False,False,False,False
"('NMY', 'NKX')",,False,True,False,True
"('NUV', 'NXJ')",,False,True,True,False
"('NTX', 'NAZ')",,False,False,False,False
"('NQP', 'NRK')",,False,False,False,True
"('NMS', 'NNY')",,False,False,False,False
"('NUV', 'NUW')",,False,False,True,False
"('NMZ', 'NIM')",,False,False,False,False
"('NVG', 'NUW')",,False,True,False,False
"('NUM', 'NMS')",,False,False,False,False
"('NKG', 'NAD')",,True,False,False,False
"('NKG', 'NAC')",,False,False,False,False
"('SENEA', 'SENEB')",,False,False,False,False
"('NUM', 'NJV')",,False,False,False,False
"('NUM', 'NOM')",,False,False,False,False
"('NUV', 'NAZ')",,False,False,False,False
"('NRK', 'NXR')",,False,False,False,False
"('NXN', 'NRK')",,False,True,False,False
"('NTX', 'NXP')",,False,False,False,False
"('NCA', 'NIM')",,False,False,False,False
"('NXQ', 'NOM')",,False,False,False,False
"('NMY', 'NUO')",,False,False,False,False
"('NOM', 'NUO')",,False,False,False,False
"('NPN', 'NTX')",,False,False,False,False
"('NMZ', 'NAC')",,False,False,False,False
"('NCA', 'NUW')",,False,False,False,False
"('NMZ', 'NUM')",,False,False,False,False
"('NMI', 'NNY')",,False,False,False,False
"('NRK', 'NCB')",,False,False,False,False
"('NMS', 'NAC')",,False,False,False,False
"('NIQ', 'NUW')",,False,False,False,False
"('NMT', 'NIQ')",,True,True,False,False
"('NUV', 'NMT')",,False,False,False,False
"('NAN', 'NYV')",,False,False,True,False
"('NEA', 'NCB')",,False,False,True,False
"('NTX', 'NCB')",,False,False,False,False
"('NVG', 'NYV')",,False,False,False,False
"('NYV', 'NUW')",,False,False,True,False
"('NMY', 'NIM')",,False,False,False,True
"('NEV', 'NXR')",,False,False,False,False
"('NHA', 'NAC')",,True,False,False,False
"('NXQ', 'NMS')",,False,False,False,False
"('NID', 'NYV')",,False,False,False,False
"('NUV', 'NXR')",,False,False,False,False
"('NAZ', 'NUW')",,False,False,False,True
"('NQP', 'NJV')",,True,False,False,False
"('NQP', 'NXR')",,False,False,False,False
"('NVG', 'NXP')",,False,False,False,False
"('NPV', 'NAC')",,False,True,False,False
"('NMY', 'NTX')",,False,False,False,False
"('NID', 'NPV')",,False,False,False,False
"('NEV', 'NMT')",,False,False,False,False
"('NTX', 'NUM')",,False,False,False,False
"('NKG', 'NXC')",,False,False,False,False
"('NMZ', 'NHA')",,False,False,True,False
"('NMZ', 'NKG')",,False,False,False,False
"('NAN', 'NXC')",,False,False,False,False
