pair,2017Q2,2017Q3
"('DISCK', 'DISCA')",False,False
"('AGN', 'ALGN')",False,False
"('UA', 'UAA')",False,False
"('R', 'RIBT')",False,False
"('LGF-A', 'LGF-B')",True,False
"('PMT', 'PFSI')",False,False
"('CUK', 'CCL')",False,False
"('CTI', 'CTIC')",False,False
"('DKL', 'DK')",True,False
"('BME', 'BLW')",False,False
"('BME', 'BDJ')",False,False
"('BME', 'BGT')",False,False
"('BME', 'BGR')",False,False
"('BME', 'BGY')",False,False
"('BME', 'HYT')",False,False
"('BME', 'BTZ')",False,False
"('AFB', 'AWF')",False,False
"('BDJ', 'BGY')",False,False
"('BDJ', 'BTZ')",False,False
"('BDJ', 'BLW')",False,False
"('BDJ', 'HYT')",False,False
"('BDJ', 'BGT')",False,False
"('BDJ', 'BGR')",False,True
"('PSTG', 'MATR')",False,False
"('BGT', 'BGY')",False,False
"('BGT', 'BTZ')",False,False
"('BGT', 'BLW')",False,False
"('BGT', 'HYT')",False,False
"('BGT', 'BGR')",False,False
"('BTZ', 'BGR')",False,False
"('BTZ', 'BGY')",True,False
"('BTZ', 'BLW')",False,False
"('BTZ', 'HYT')",False,False
"('BGY', 'BLW')",False,False
"('BGY', 'HYT')",False,False
"('BGY', 'BGR')",False,False
"('BLW', 'HYT')",False,False
"('BLW', 'BGR')",False,False
"('HYT', 'BGR')",False,False
"('IAE', 'IID')",False,False
"('MMT', 'MCR')",True,True
"('AFB', 'AB')",False,False
"('AB', 'AWF')",False,False
"('IHD', 'IAE')",False,False
"('IHD', 'IID')",False,False
"('MNR', 'UMH')",False,False
"('KRO', 'NL')",False,False
"('IID', 'IGD')",False,False
"('IAE', 'IGD')",False,False
"('LAQ', 'IF')",False,True
"('MMT', 'CIF')",False,True
"('MMT', 'MGF')",False,True
"('MMT', 'CXE')",False,True
"('MMT', 'MFV')",False,True
"('MMT', 'MIN')",False,True
"('MMT', 'CMU')",False,True
"('MMT', 'MFM')",False,True
"('MMT', 'CXH')",False,False
"('ALX', 'VNO')",False,False
"('VHI', 'CIX')",False,False
"('CMU', 'MIN')",False,False
"('CMU', 'CIF')",False,False
"('CMU', 'MCR')",False,False
"('CMU', 'MFM')",False,False
"('CMU', 'MGF')",False,False
"('CMU', 'CXH')",False,False
"('CMU', 'CXE')",False,False
"('CMU', 'MFV')",True,False
"('MGF', 'CIF')",False,True
"('MGF', 'CXE')",False,True
"('MGF', 'MFV')",False,True
"('MGF', 'MIN')",False,True
"('MGF', 'MCR')",False,True
"('MGF', 'MFM')",False,True
"('MGF', 'CXH')",False,False
"('IHD', 'IGD')",False,False
"('MIN', 'CXE')",False,False
"('MIN', 'MFV')",False,False
"('MIN', 'MFM')",True,False
"('MIN', 'CIF')",False,False
"('MIN', 'MCR')",False,False
"('MIN', 'CXH')",False,False
"('VCV', 'VKI')",True,False
"('VCV', 'VVR')",False,False
"('VCV', 'VTA')",False,False
"('CXH', 'CIF')",False,False
"('CXH', 'MCR')",False,False
"('CXH', 'MFM')",False,False
"('CXH', 'CXE')",False,False
"('CXH', 'MFV')",False,False
"('MCR', 'CXE')",False,False
"('MCR', 'MFV')",False,False
"('MCR', 'MFM')",False,False
"('MCR', 'CIF')",False,False
"('LSXMA', 'LSXMK')",False,False
"('VVR', 'VKI')",False,False
"('VVR', 'VTA')",False,False
"('MFM', 'MFV')",False,False
"('MFM', 'CXE')",False,False
"('MFM', 'CIF')",False,False
"('VTA', 'VKI')",False,False
"('MFV', 'CXE')",True,False
"('MFV', 'CIF')",False,False
"('CXE', 'CIF')",False,True
