pair,2017Q2
"('ETN', 'EOI')",False
"('MSEX', 'TBTC')",False
"('WDAY', 'ZEUS')",False
"('INTZ', 'FBIZ')",False
"('OPGN', 'CARO')",False
"('XLRN', 'KRA')",False
"('IHRC', 'SELR')",False
"('FNMA', 'HRTX')",False
"('OMTK', 'momt')",False
"('MAN', 'TWMC')",False
"('ONDK', 'HSY')",False
"('DTRM', 'BSD')",False
"('SBOW', 'ONB')",False
"('STAA', 'DAN')",False
"('AVY', 'WFCF')",False
"('IGEN', 'FNLC')",False
"('BYD', 'MBOT')",False
"('AEE', 'UPL')",False
"('KF', 'GDL')",False
"('BLFS', 'CNXN')",False
"('NBRV', 'EHT')",False
"('ACHC', 'BWFG')",False
"('CALL', 'STRL')",False
"('HSC', 'UNB')",False
"('DECK', 'BBBY')",False
"('IRT', 'JGH')",False
"('ARCB', 'SLM')",False
"('ZTS', 'BHLB')",False
"('PARR', 'KALU')",False
"('AHH', 'SBGI')",False
"('NWLI', 'LEG')",False
"('MXIM', 'KOP')",False
"('WST', 'LHO')",False
"('FTLF', 'SAM')",False
"('BSPK', 'AXTI')",False
"('P', 'MCF')",False
"('SLB', 'DEA')",False
"('CTGO', 'GLBZ')",False
"('OCX', 'DVN')",False
"('BLBD', 'ARQL')",False
"('RGLD', 'NMFC')",False
"('SDPI', 'TRCH')",False
"('RH', 'BWXT')",False
"('EXC', 'BCC')",False
"('AGTK', 'AYI')",False
"('JCTCF', 'NEO')",False
"('XRAY', 'CMCO')",False
"('NCOM', 'MITL')",False
"('OPOF', 'BOOT')",False
"('NRT', 'RLJ')",False
"('SNCR', 'MDC')",False
"('ANSS', 'DLHC')",False
"('MKL', 'BSE')",False
"('FPI', 'ASPS')",False
"('KNL', 'FEYE')",False
"('GME', 'IBP')",False
"('HAFC', 'JACK')",False
"('CHMI', 'LYB')",False
"('FMI', 'CNDT')",False
"('DRNG', 'CINF')",False
"('SASR', 'RDN')",False
"('RARE', 'ARTX')",False
"('OSK', 'ACRE')",True
"('EMR', 'ATO')",False
"('ALV', 'TACO')",False
"('AGRX', 'GWB')",False
"('qpwr', 'SAMG')",False
"('NWBO', 'SUP')",False
"('RFP', 'PE')",False
"('WGL', 'EVA')",False
"('EBS', 'ALX')",False
"('SWM', 'CRL')",False
"('CDR', 'RIV')",False
"('DNP', 'MGEN')",True
"('NYMT', 'NP')",False
