pair,2017Q4,2018Q1
"('TGI', 'NEN')",False,False
"('FMBM', 'FSB')",False,False
"('JWN', 'MRK')",False,False
"('SRTS', 'OCIP')",False,False
"('VAR', 'WHF')",False,False
"('SRC', 'AFB')",False,False
"('APPN', 'TRV')",False,False
"('FBHS', 'ACBI')",False,False
"('CVLY', 'GLV')",False,False
"('GRUB', 'CNP')",False,False
"('CAH', 'CPN')",False,DISSOLVED
"('CWGL', 'VASO')",False,False
"('WDAY', 'CYTR')",False,False
"('FEIM', 'AGN')",True,False
"('ST', 'GNCMA')",False,DISSOLVED
"('COSM', 'PWOD')",False,False
"('IVC', 'ZUMZ')",False,False
"('AEE', 'SCWX')",False,False
"('AWK', 'TTMI')",False,False
"('NTIP', 'CRC')",False,DISSOLVED
"('CRUS', 'CTBI')",False,False
"('NVRO', 'PRGX')",False,False
"('VNTR', 'MTEM')",False,False
"('ULBI', 'FWRD')",False,False
"('SGEN', 'BLSP')",False,False
"('WTBA', 'CAT')",False,False
"('SCX', 'LXRX')",False,False
"('DGII', 'VCV')",False,False
"('SLS', 'ATLO')",False,False
"('ATOS', 'AXGN')",True,False
"('SC', 'LNTH')",False,False
"('NOV', 'PCTY')",False,False
"('ALGN', 'STAG')",False,False
"('SNFCA', 'UFCS')",False,False
"('STML', 'VSH')",False,False
"('EOD', 'USAC')",False,False
"('CWGL', 'FSAM')",False,False
"('BOLD', 'SCG')",False,False
"('PRLB', 'APA')",False,False
"('PVCT', 'KBH')",False,False
"('NSC', 'CRSP')",False,False
"('BPMC', 'GBX')",False,False
"('VBF', 'WSO;WSOB')",False,False
"('EPD', 'EXPD')",False,False
"('GDOT', 'BRK-A')",False,False
"('JWN', 'PRAH')",False,False
"('GTS', 'PLCE')",False,False
"('OPNT', 'CBAY')",False,False
"('DFS', 'D')",False,False
"('UNTY', 'BLD')",False,False
"('UTI', 'G')",False,False
"('KWR', 'ABDC')",False,False
"('VIAV', 'RNR')",False,False
"('MORN', 'JELD')",False,False
"('IP', 'AMMJ')",False,False
"('DOC', 'ADP')",False,False
"('SPHS', 'OXFD')",False,False
"('HPQ', 'HSTM')",False,False
"('GNW', 'PKE')",False,False
"('RRTS', 'PLPC')",False,False
"('AXE', 'PRPH')",False,False
"('ATOS', 'ASGN')",True,False
"('ANSS', 'FBMS')",False,False
"('TSLF', 'ARCH')",False,False
"('HONE', 'MMLP')",False,False
"('FIBK', 'PZG')",False,False
"('HEES', 'SRE')",False,False
"('CUTR', 'COF')",False,False
"('XOMA', 'SRAX')",False,False
"('NWPP', 'CRMD')",False,True
"('NSSC', 'HSDT')",False,False
"('AC', 'GDI')",False,False
"('COP', 'GTT')",False,False
"('MBUU', 'GPMT')",False,False
"('CASI', 'RTN')",False,False
"('CICN', 'CVLY')",False,False
