pair,2017Q2
"('VKQ', 'VPV')",False
"('VKQ', 'VKI')",False
"('VTA', 'VPV')",False
"('VTA', 'VBF')",False
"('VKI', 'VPV')",False
"('VKI', 'VBF')",True
"('VPV', 'VBF')",False
"('HGV', 'HLT')",False
"('FANG', 'VNOM')",False
"('TMQ', 'NG')",True
"('SRCL', 'AXDX')",False
"('CEM', 'CTR')",True
"('CEM', 'EMO')",True
"('DDD', 'LMNX')",False
"('TDF', 'EMF')",False
"('INF', 'RA')",False
"('FATE', 'LIFE')",False
"('CIX', 'KRO')",False
"('CIX', 'NL')",False
"('EMO', 'CTR')",True
"('JCOM', 'CMCT')",False
"('SPNE', 'IART')",False
"('VMC', 'RF')",False
"('GLO', 'GLQ')",False
"('GLO', 'GLV')",False
"('DO', 'L')",False
"('BGY', 'BOE')",False
"('TTEN', 'ATLS')",False
"('GLV', 'GLQ')",False
"('TPX', 'SIX')",False
"('OKE', 'OGS')",False
"('ITW', 'NTRS')",False
"('RETA', 'APEN')",False
"('PIH', 'BTN')",False
"('ISL', 'ABE')",True
"('JANL', 'GLBZ')",False
"('ISIG', 'AIRT')",False
"('INIT', 'INTT')",False
"('TJX', 'GNC')",False
"('PBI', 'TDOC')",False
"('TDC', 'ALV')",False
"('PKO', 'PCM')",False
"('NBIX', 'BIIB')",False
"('BFAM', 'BURL')",False
"('MS', 'IBM')",False
"('SRCL', 'QDEL')",False
"('PMM', 'PMO')",True
"('GIM', 'EMF')",False
"('GIM', 'TDF')",False
"('GIM', 'TEI')",False
"('SYRS', 'LIFE')",True
"('MGEN', 'ZFGN')",False
"('OPK', 'TRXC')",False
"('GER', 'GMZ')",False
"('ICPT', 'SGEN')",False
"('TDF', 'TEI')",False
"('ACGL', 'BIVV')",False
"('AAP', 'PRGO')",False
"('ANGO', 'LNTH')",False
"('ENTG', 'TER')",False
"('FULT', 'YORW')",False
"('VAC', 'HT')",False
"('HT', 'CDOR')",False
"('SCD', 'CEM')",False
"('SCD', 'CTR')",False
"('SCD', 'EMO')",False
"('LOGM', 'CTXS')",False
"('HPE', 'MRK')",False
"('ALNY', 'IRWD')",False
"('SYRS', 'ALNY')",False
"('AAMC', 'RESI')",False
"('TTI', 'CCLP')",False
"('DS', 'NRZ')",False
"('MAR', 'BA')",False
"('SANW', 'SNES')",False
"('RIGL', 'NVUS')",False
"('MYJ', 'BLJ')",False
"('MYJ', 'MUJ')",False
"('GGG', 'FUL')",False
"('PFE', 'AIG')",False
"('COLL', 'TTPH')",False
"('ALNY', 'LIFE')",False
"('SNPS', 'TER')",False
"('AMRN', 'CHMA')",False
"('XPER', 'MRVL')",False
"('NL', 'VHI')",False
"('DRH', 'VAC')",False
"('LC', 'SQ')",False
"('TEI', 'EMF')",False
"('RESN', 'LII')",True
"('ILMN', 'VCYT')",False
"('BRTX', 'APDN')",False
"('GBT', 'MYOK')",True
"('INCY', 'SGEN')",False
"('VHI', 'KRO')",False
"('VMC', 'XEL')",False
"('HXL', 'TFX')",False
"('ADM', 'GCI')",False
"('PKG', 'TEN')",False
"('IMGN', 'GLYC')",False
"('PBF', 'NRG')",False
"('COLL', 'AMAG')",False
"('BXS', 'DEL')",False
"('HAWK', 'PAY')",False
"('BA', 'CAT')",False
"('FITB', 'MPC')",False
"('RYAM', 'TECD')",False
"('VCRA', 'FIVN')",False
"('NOW', 'VEEV')",False
"('QDEL', 'AXDX')",False
"('PRI', 'ZION')",False
"('IART', 'OMI')",False
"('OMC', 'CAR')",False
"('FCB', 'CLI')",True
"('FCB', 'ICE')",False
"('SGMS', 'FCX')",False
"('CPE', 'CBI')",False
"('DGX', 'INAP')",False
"('MNE', 'MUI')",False
"('ECL', 'RSG')",False
"('EFF', 'EFT')",False
"('WTBA', 'UFCS')",False
"('BANR', 'FBP')",False
"('FE', 'TSE')",False
"('TROW', 'MKC')",False
"('AGIO', 'BLUE')",False
"('ARQL', 'SELB')",False
"('ANTH', 'CBAY')",False
"('BOKF', 'OKE')",False
"('BFY', 'BQH')",True
"('BFY', 'BSE')",False
"('BFY', 'MNE')",True
"('STMP', 'PRSS')",False
"('SFE', 'AWK')",False
"('ALL', 'MMM')",False
"('BIVV', 'BIIB')",False
"('CMP', 'OMN')",False
"('DERM', 'FPRX')",True
"('INGR', 'AKS')",False
"('TIPRX', 'TIPWX')",True
"('LYV', 'LSXMA')",False
"('LYV', 'LSXMK')",False
"('RETA', 'CRVS')",False
"('DVA', 'KND')",True
"('SFE', 'VG')",False
"('EMN', 'CB')",False
"('NOW', 'PSTG')",False
"('ORCL', 'AKAM')",False
"('MRTX', 'BMRN')",False
"('TSE', 'ST')",True
"('GCP', 'MKSI')",False
"('HUBB', 'KAMN')",False
"('LSXMA', 'CHTR')",False
"('LSXMK', 'CHTR')",False
"('TYG', 'NDP')",False
"('TYG', 'NTG')",False
"('EPZM', 'TSRO')",False
"('BLJ', 'MUJ')",True
"('GERN', 'ILMN')",False
"('GNC', 'BIG')",False
"('SAGE', 'ALNY')",False
"('CHTR', 'DISCK')",False
"('CHTR', 'DISCA')",False
"('MNE', 'BQH')",True
"('MNE', 'BSE')",True
"('FSLR', 'INT')",False
"('CRVS', 'APEN')",True
"('KLXI', 'COL')",False
"('NAV', 'RIG')",False
"('LXRX', 'BUFF')",False
"('SIR', 'FVE')",False
"('IBM', 'PG')",False
"('LPI', 'AR')",False
"('RARE', 'SGEN')",False
"('SNV', 'GPC')",False
"('JRO', 'JSD')",False
"('CUBI', 'ACFC')",False
"('DFIN', 'DBD')",False
"('SO', 'GPC')",False
"('TA', 'FVE')",False
"('EXR', 'TEN')",False
"('CLSD', 'AERI')",False
"('UVV', 'OMI')",False
"('PGRE', 'REG')",False
"('LNC', 'LUV')",False
"('BSE', 'BQH')",True
"('AMRS', 'CDXS')",False
"('GT', 'NRG')",False
"('DDS', 'PAYC')",False
"('UTX', 'MDLZ')",False
"('CPS', 'PHH')",False
"('INVA', 'CCXI')",False
"('VGM', 'AT')",False
"('VGM', 'ON')",False
"('MIC', 'WPX')",False
"('PNC', 'MDLZ')",False
"('PNC', 'MPC')",False
"('ASB', 'AAP')",False
"('ASB', 'KMB')",False
"('BSM', 'CRZO')",False
"('CRZO', 'CPT')",False
"('CTL', 'MITL')",False
"('CHRW', 'OTTR')",False
"('TJX', 'DNKN')",False
"('VTGN', 'DRRX')",False
"('TMPS', 'SGMS')",False
"('TMPS', 'COWN')",False
"('ARNA', 'RARE')",False
"('VEEV', 'SPLK')",False
"('SHAK', 'SIG')",False
"('SP', 'THC')",False
"('SP', 'KAMN')",False
"('OSK', 'CACI')",False
"('RGLS', 'EXEL')",False
"('RGLS', 'BIIB')",False
"('TG', 'UVV')",False
"('NFLX', 'GOOG')",False
"('NFLX', 'ANET')",False
"('NFLX', 'GLUU')",False
"('EGOV', 'UMBF')",False
"('SM', 'CCLP')",False
"('SM', 'TTI')",False
"('BME', 'BAF')",False
"('BME', 'BSD')",False
"('GNTX', 'BWA')",False
"('GNTX', 'STRL')",False
"('R', 'NATI')",False
"('HAWK', 'CAR')",False
"('HAWK', 'CVG')",False
"('CNC', 'PPL')",False
"('GBAB', 'GOF')",False
"('GBAB', 'GGM')",False
"('GBAB', 'FMO')",False
"('PHM', 'SPXC')",False
"('OUT', 'TTWO')",False
"('SAGE', 'BIVV')",False
"('WIRE', 'CSWC')",False
"('VER', 'CXP')",False
"('VYGR', 'GBT')",False
"('LSCC', 'AMBA')",False
"('KWR', 'RBCN')",False
"('TRU', 'ALL')",False
"('DKS', 'HOME')",False
"('PBI', 'HSY')",False
"('TDC', 'JBT')",False
"('FCN', 'DD')",False
"('FCN', 'ITT')",False
"('WBS', 'CLH')",False
"('CRM', 'AABA')",False
"('VC', 'COMM')",False
"('CTL', 'WTI')",False
"('WY', 'XEL')",False
"('WY', 'SSP')",False
"('PKO', 'PFLEX')",False
"('PKO', 'PGP')",False
"('PGRE', 'DEI')",False
"('CMI', 'HOG')",False
"('CERS', 'PKI')",False
"('NBIX', 'ADRO')",False
"('IQI', 'AT')",False
"('IQI', 'ON')",False
"('PGR', 'KEY')",False
"('PRU', 'NWL')",False
"('APD', 'FOLD')",False
"('APD', 'VRTX')",False
"('ED', 'HMHC')",False
"('VR', 'VNO')",False
"('SPWR', 'HPQ')",False
"('ROP', 'CRL')",False
"('ROP', 'CVG')",False
"('ROP', 'STAY')",False
"('JNPR', 'CTXS')",False
"('JNPR', 'LOGM')",False
"('JNPR', 'KLAC')",False
"('CPN', 'PRGO')",False
"('CMCSA', 'AMKR')",False
"('ANDE', 'FE')",False
"('L', 'CMD')",False
"('UNVR', 'TDC')",False
"('PTLA', 'SCMP')",False
"('APPF', 'TLYS')",False
"('MA', 'RM')",False
"('CDNA', 'VCYT')",False
"('CDNA', 'FPRX')",False
"('CDNA', 'BCRX')",False
"('EVBG', 'VECO')",False
"('XHR', 'AAL')",False
"('LHCG', 'BLBD')",False
"('ITRI', 'POR')",False
"('AERI', 'TRVN')",False
"('AERI', 'IRWD')",False
"('FCN', 'TROW')",False
"('FCN', 'RXN')",False
"('VNDA', 'SAGE')",False
"('PLYA', 'AGNC')",False
"('ICPT', 'ILMN')",False
"('ICPT', 'CORT')",False
"('ICPT', 'GERN')",False
"('NCR', 'JNPR')",False
"('CIO', 'WHLR')",False
"('DNKN', 'LLY')",False
"('DNKN', 'LOW')",False
"('DNKN', 'RLGY')",False
"('MMC', 'UNP')",False
"('AET', 'BSX')",False
"('DGX', 'JBL')",False
"('HOLX', 'PODD')",False
"('RAD', 'KMX')",False
"('VTVT', 'SIGA')",False
"('VRTV', 'HAS')",False
"('FLT', 'GPN')",False
"('VRTS', 'SFE')",False
"('CVG', 'TRU')",False
"('NATR', 'MRLN')",False
"('NOC', 'JACK')",False
"('ATHX', 'ACOR')",True
"('FI', 'CLR')",False
"('ALBO', 'AMAG')",False
"('OSUR', 'WST')",False
"('POL', 'ASH')",False
"('BBF', 'MQY')",False
"('BBF', 'MNE')",False
"('BBF', 'BQH')",False
"('BBF', 'BFY')",False
"('BBF', 'BSE')",False
"('BBF', 'EFT')",False
"('BBF', 'EFF')",False
"('VYGR', 'BLUE')",False
"('VYGR', 'INCY')",False
"('VYGR', 'ALKS')",False
"('PK', 'KRG')",False
"('MTRN', 'KEY')",False
"('MTRN', 'FOE')",False
"('PANL', 'HIL')",False
"('ISRG', 'MLNX')",False
"('CRL', 'HURN')",False
"('CVS', 'GE')",False
"('FCCY', 'SIGI')",False
"('EQC', 'REG')",False
"('EQC', 'PGRE')",False
"('EQC', 'MITT')",False
"('WHR', 'YUM')",False
"('ALSN', 'MSA')",False
"('NFBK', 'MSEX')",False
"('STLY', 'AMNB')",False
"('STLY', 'PGEM')",False
"('STLY', 'LPNT')",False
"('ASNA', 'FRGI')",False
"('UTX', 'INTC')",False
"('ARR', 'PSA')",False
"('KMX', 'PHM')",False
"('CP', 'CMG')",False
"('CP', 'APD')",False
"('TMO', 'CL')",False
"('ON', 'X')",False
"('T', 'M')",False
"('T', 'TUP')",False
"('AEP', 'POL')",False
"('PM', 'GT')",False
"('VG', 'DNKN')",False
"('SCMP', 'PDLI')",False
"('VLT', 'AT')",False
"('VLT', 'ON')",False
"('NP', 'FSS')",False
"('KEYS', 'TRMB')",False
"('L', 'EV')",False
"('BSD', 'BLW')",False
"('BSD', 'BDJ')",False
"('BSD', 'BAF')",False
"('BSD', 'BGT')",False
"('BSD', 'BGR')",False
"('BSD', 'BGY')",False
"('BSD', 'HYT')",False
"('BSD', 'BTZ')",False
"('BR', 'DBD')",True
"('STE', 'MSFG')",False
"('JUNO', 'SYRS')",False
"('ONTX', 'CLDX')",False
"('MAR', 'WGL')",False
"('MAR', 'TWTR')",False
"('PLXS', 'MTSC')",False
"('BDJ', 'BGIO')",False
"('WFC', 'KR')",False
"('WFC', 'FIVE')",False
"('AMGN', 'BA')",False
"('CVS', 'MEDP')",False
"('EW', 'AMN')",False
"('EW', 'OMI')",False
"('PRGO', 'SNSS')",True
"('PRGO', 'CCXI')",False
"('SYRS', 'ICPT')",False
"('SYRS', 'SGEN')",False
"('CVS', 'RYAM')",False
"('SLG', 'XHR')",False
"('MO', 'PNK')",False
"('HPQ', 'DISCK')",False
"('HPQ', 'DISCA')",False
"('CAT', 'SYY')",False
"('CL', 'AET')",False
"('ABUS', 'CLDX')",False
"('KMB', 'WRI')",False
"('TSRO', 'BFAM')",True
"('PLSE', 'MVEN')",False
"('ICUI', 'IRBT')",False
"('ICUI', 'NSTG')",False
"('SQ', 'MDLZ')",False
"('EHTH', 'REPH')",False
"('SRRA', 'MAS')",False
"('SRRA', 'KELYA')",False
"('CRL', 'CVG')",False
"('CRL', 'STAY')",False
"('JWN', 'ALK')",False
"('OPK', 'GPX')",False
"('DFIN', 'MDXG')",False
"('DFIN', 'ENV')",False
"('F', 'PCG')",False
"('AMBC', 'DYN')",False
"('BAX', 'OI')",True
"('BAX', 'GT')",False
"('NVCR', 'ZNGA')",False
"('AIR', 'KS')",False
"('AIR', 'KMPR')",False
"('GOGO', 'FMBI')",False
"('KRA', 'FE')",False
"('KAR', 'ANGI')",False
"('ACN', 'HAWK')",False
"('ACN', 'SCHW')",False
"('ICPT', 'RARE')",False
"('ICPT', 'AVXS')",False
"('HBAN', 'KELYA')",False
"('RTIX', 'RDNT')",False
"('NUVA', 'CNXR')",False
"('PCM', 'PFLEX')",False
"('PCM', 'PGP')",False
"('MAIN', 'TISI')",False
"('MAIN', 'PWR')",False
"('TDF', 'FT')",False
"('TDF', 'FTF')",False
"('BEBE', 'DTRM')",False
"('BEBE', 'PRSS')",False
"('BEBE', 'STMP')",False
"('BEBE', 'ITI')",False
"('OOMA', 'FISV')",False
"('OOMA', 'UIS')",False
"('FTNT', 'TNAV')",False
"('MRK', 'CRL')",False
"('TRHC', 'KFRC')",False
"('EMI', 'ETJ')",False
"('EMI', 'EIP')",False
"('EMI', 'EFR')",False
"('EMI', 'EIM')",False
"('EMI', 'ETW')",False
"('EMI', 'EFF')",False
"('EMI', 'EMJ')",False
"('EMI', 'NYH')",False
"('EMI', 'EVP')",False
"('EMI', 'MAB')",False
"('EMI', 'MMV')",False
"('EMI', 'EVY')",False
"('EMI', 'EVO')",False
"('EMI', 'EVM')",False
"('EMI', 'EIO')",False
"('EMI', 'ETO')",False
"('EMI', 'EVT')",False
"('EMI', 'ETB')",False
"('EMI', 'ETV')",False
"('EMI', 'CEV')",False
"('EMI', 'EVN')",False
"('EMI', 'EXD')",False
"('EMI', 'EXG')",False
"('EMI', 'ETX')",False
"('EMI', 'ETY')",False
"('EMI', 'EHT')",False
"('EMI', 'EFT')",False
"('EMI', 'ENX')",False
"('EMI', 'EIA')",False
"('EMI', 'ETG')",False
"('EMI', 'EVF')",False
"('EMI', 'EOT')",False
"('EMI', 'MIW')",False
"('EMI', 'EVG')",False
"('EMI', 'EOS')",False
"('EMI', 'EOI')",False
"('LMFA', 'HCI')",False
"('NUVA', 'ELGX')",False
"('WK', 'AEL')",False
"('HPE', 'QTNA')",False
"('HPE', 'CDNS')",False
"('SEAS', 'RL')",False
"('SEAS', 'HLT')",False
"('NOC', 'FIS')",False
"('CAT', 'HAL')",False
"('CAT', 'SRE')",False
"('MS', 'FB')",False
"('MS', 'NSC')",False
"('BIOC', 'CNAT')",False
"('FMC', 'GVA')",False
"('FMC', 'POL')",False
"('LBY', 'MYE')",False
"('MRCY', 'CACI')",False
"('GWW', 'HI')",False
"('IOTS', 'SYNA')",False
"('INO', 'CDNA')",False
"('CRK', 'PUMP')",False
"('PVH', 'RUTH')",False
"('PVH', 'HST')",False
"('GPX', 'TRXC')",False
"('UFPT', 'ECYT')",False
"('DRI', 'AAP')",False
"('CRBO', 'RHNO')",False
"('ATNI', 'EXPD')",True
"('DXLG', 'VRA')",False
"('PRU', 'DRE')",True
"('PRU', 'PK')",False
"('SPXC', 'FELE')",True
"('SPXC', 'CSL')",False
"('BGT', 'BGIO')",False
"('RGR', 'HSC')",False
"('RGR', 'VEC')",False
"('BAC', 'HDS')",False
"('BAC', 'AEP')",False
"('INAP', 'DY')",False
"('HST', 'DLR')",False
"('HST', 'VER')",False
"('JPC', 'NEV')",False
"('JPC', 'NCB')",False
"('JPC', 'JMF')",True
"('JPC', 'NHA')",False
"('JPC', 'NIQ')",False
"('JPC', 'JQC')",False
"('JPC', 'SPXX')",False
"('JPC', 'JRI')",False
"('JPC', 'JCE')",False
"('JPC', 'NMS')",False
"('JPC', 'JPI')",False
"('JPC', 'JFR')",False
"('JPC', 'QQQX')",False
"('JPC', 'DIAX')",True
"('JPC', 'JMLP')",False
"('JPC', 'NPN')",False
"('JPC', 'JRO')",False
"('JPC', 'JTD')",False
"('JPC', 'JHY')",False
"('JPC', 'NMZ')",False
"('JPC', 'NBB')",False
"('JPC', 'JLS')",False
"('JPC', 'BXMX')",False
"('JPC', 'NJV')",False
"('JPC', 'NUW')",False
"('JPC', 'JSD')",False
"('JPC', 'JGH')",False
"('JPC', 'NYV')",False
"('JPC', 'NID')",False
"('JPC', 'JHB')",False
"('HCCI', 'FRME')",True
"('EMJ', 'ETJ')",False
"('EMJ', 'EIP')",False
"('EMJ', 'EFR')",False
"('EMJ', 'EIM')",False
"('EMJ', 'ETW')",False
"('EMJ', 'EFF')",False
"('EMJ', 'NYH')",False
"('EMJ', 'EVP')",False
"('EMJ', 'MAB')",False
"('EMJ', 'MMV')",False
"('EMJ', 'EVY')",False
"('EMJ', 'EVO')",True
"('EMJ', 'EVM')",False
"('EMJ', 'EIO')",False
"('EMJ', 'ETO')",True
"('EMJ', 'EVT')",False
"('EMJ', 'ETB')",False
"('EMJ', 'ETV')",False
"('EMJ', 'CEV')",False
"('EMJ', 'EVN')",False
"('EMJ', 'EXD')",True
"('EMJ', 'EXG')",False
"('EMJ', 'ETX')",True
"('EMJ', 'ETY')",True
"('EMJ', 'EHT')",False
"('EMJ', 'EFT')",False
"('EMJ', 'ENX')",True
"('EMJ', 'EIA')",False
"('EMJ', 'ETG')",False
"('EMJ', 'EVF')",False
"('EMJ', 'EOT')",False
"('EMJ', 'MIW')",True
"('EMJ', 'EVG')",False
"('EMJ', 'EOS')",False
"('EMJ', 'EOI')",False
"('PXLW', 'RSYS')",False
"('PXLW', 'QRVO')",False
"('PXLW', 'NWN')",False
"('MTCH', 'FTV')",False
"('MTCH', 'CABO')",False
"('MTCH', 'DHR')",False
"('BDJ', 'BAF')",False
"('WBS', 'POR')",False
"('FNGN', 'A')",False
"('NUVA', 'OBLN')",False
"('DLTH', 'BOOT')",False
"('PAGP', 'NOV')",False
"('RYN', 'ETR')",False
"('PI', 'AMZN')",False
"('SEE', 'HLI')",False
"('AIT', 'ROG')",False
"('SEM', 'TDOC')",False
"('AMCX', 'UEIC')",False
"('GLT', 'MEDP')",False
"('PFG', 'NTGR')",False
"('IHIT', 'AT')",True
"('IHIT', 'ON')",False
"('BIIB', 'EXEL')",False
"('FIVE', 'KR')",False
"('ROK', 'RXN')",False
"('IIM', 'VMC')",False
"('ILG', 'MTCH')",False
"('VVC', 'ONB')",False
"('TBK', 'MGI')",False
"('BDN', 'ZIOP')",False
"('TMO', 'AMGN')",False
"('EL', 'TIF')",False
"('EL', 'WSM')",False
"('FMI', 'TRVN')",False
"('PNFP', 'DVCR')",False
"('CPK', 'HT')",False
"('CPK', 'VAC')",False
"('OIS', 'WTI')",False
"('CHRW', 'VLY')",False
"('CHRW', 'IPG')",False
"('ZYNE', 'DVAX')",False
"('ZYNE', 'CNAT')",False
"('ALNY', 'PFE')",False
"('ALNY', 'MCRB')",False
"('ALLY', 'CMCSA')",False
"('AEL', 'FUSB')",False
"('PIRS', 'IDRA')",False
"('PIRS', 'VYGR')",False
"('NTLA', 'VYGR')",False
"('NTLA', 'OMED')",False
"('PCAR', 'ALLE')",False
"('PCAR', 'JELD')",False
"('MLHR', 'UFPI')",False
"('FGEN', 'ITCI')",False
"('EMIS', 'TWI')",True
"('EMIS', 'NAV')",True
"('EMIS', 'LGF-A')",True
"('EMIS', 'LGF-B')",False
"('ROCK', 'ENDP')",False
"('AMRN', 'SPHS')",False
"('AMRN', 'PRTA')",False
"('AMRN', 'RARE')",False
"('CAH', 'MSI')",False
"('KN', 'A')",False
"('AKS', 'BWA')",False
"('ZAYO', 'CALD')",False
"('ZAYO', 'SLAB')",False
"('IP', 'WYNN')",False
"('PRLB', 'ROK')",False
"('FATE', 'RTRX')",False
"('EXPE', 'LYV')",False
"('PPG', 'AGCO')",False
"('TXT', 'ANTM')",False
"('TXT', 'AVT')",False
"('HYI', 'MNP')",False
"('HYI', 'GFY')",False
"('HYI', 'CEM')",False
"('HYI', 'EHI')",True
"('HYI', 'TLI')",False
"('HYI', 'GDO')",False
"('HYI', 'CTR')",False
"('HYI', 'MHF')",False
"('HYI', 'EMD')",False
"('HYI', 'DMO')",False
"('HYI', 'EMO')",False
"('HYI', 'IGI')",False
"('HYI', 'XWAMX')",False
"('HYI', 'BWG')",False
"('HYI', 'HIX')",True
"('HYI', 'MMU')",False
"('HYI', 'SCD')",False
"('HYI', 'SBI')",False
"('HYI', 'XWMFX')",False
"('HYI', 'HIO')",True
"('HYI', 'MTT')",False
"('WEX', 'PODD')",False
"('OMED', 'TBPH')",False
"('OMED', 'JAZZ')",False
"('SIEN', 'GNMK')",False
"('COR', 'FCPT')",False
"('SPLP', 'DCOM')",False
"('RMBS', 'EFOI')",False
"('PFE', 'MAT')",False
"('KBR', 'EXTN')",True
